_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
63441904a9e0f04cda762dfd||47.13|94.74|47.13|61.22|54,0,0,0|words|10|-1|0|13.75|0|0|false|false|english|none|normal|false|false|false||1665407236000
6344198da9e0f04cda76335c||47.08|92.16|47.08|63.91|47,0,0,0|words|10|-1|0|11.98|0|0|false|false|english|none|normal|false|false|false||1665407373000
640039a05027fd0b05c3fad4||47|93.01|47|65.48|132,0,0,0|words|25|-1|0|33.7|0|0|false|false|english|none|normal|false|false|false||1677736352000
635d1ce9e04535b68a89f441||46.95|95.49|46.95|63.63|127,0,0,0|words|25|-1|0|32.46|0|0|false|false|english|none|normal|false|false|false||1667046633000
640c5a2886f61427336fa2ef||46.93|97.66|46.93|69.38|123,0,0,0|words|25|-1|0|31.45|0|0|false|false|english|none|normal|false|false|false||1678531112000
63fdc5625027fd0b05b6a854||46.83|96.35|46.83|68.97|131,0,0,0|words|25|-1|0|33.57|0|0|false|false|english|none|normal|false|false|false||1677575522000
640c5a0786f61427336fa214||46.77|94.16|46.77|68.42|128,0,0,0|words|25|-1|1|32.84|0|16.27|false|false|english|none|normal|false|false|false||1678531079000
64056aae5027fd0b05542b86||46.68|95.07|46.68|61.86|133,0,0,0|words|25|-1|0|34.19|1|0|false|false|english|none|normal|false|false|false||1678076590000
640039545027fd0b05c3f8a8||46.66|94.89|46.66|70.22|130,0,0,0|words|25|-1|0|33.43|0|0|false|false|english|none|normal|false|false|false||1677736276000
640c4a3486f6142733583792||46.64|96.64|46.64|62.83|141,0,0,0|words|25|-1|0|36.28|0|0|false|false|english|none|normal|false|false|false||1678527028000
63566239c8c818a095dd772c||46.51|96.8|46.51|64.17|121,0,0,0|words|25|-1|0|31.22|0|0|false|false|english|none|normal|false|false|false||1666605625000
642bfc3f0a366c07ed7e81ff||46.49|92.72|46.49|62.29|138,0,0,0|words|25|-1|0|35.62|0|0|false|false|english|none|normal|false|false|false||1680604223000
640ffa5b6d3feedce151dcd2||46.19|97.22|46.19|63.29|139,0,0,0|words|25|-1|0|36.11|0|0|false|false|english|none|normal|false|false|false||1678768731000
